status,aspect,sentiment,compound
Anxiety,concentration,negative,-0.4215
Anxiety,social_support,positive,0.25
Anxiety,sleep,negative,-0.7074
Anxiety,sleep,negative,-0.25
Anxiety,sleep,positive,0.2057
Anxiety,sleep,negative,-0.3919
Anxiety,sleep,negative,-0.296
Anxiety,social_support,negative,-0.7177
Anxiety,hopelessness,negative,-0.2732
Anxiety,sleep,negative,-0.687
Anxiety,sleep,negative,-0.2023
Anxiety,sleep,negative,-0.743
Anxiety,hopelessness,negative,-0.34
Anxiety,sleep,negative,-0.7837
Anxiety,sleep,negative,-0.754
Anxiety,social_support,positive,0.2263
Anxiety,sleep,negative,-0.2732
Anxiety,sleep,negative,-0.6865
Anxiety,sleep,positive,0.7241
Anxiety,social_support,positive,0.5994
Anxiety,sleep,negative,-0.5574
Anxiety,sleep,negative,-0.751
Anxiety,sleep,negative,-0.3384
Anxiety,sleep,negative,-0.1368
Anxiety,sleep,neutral,-0.0258
Anxiety,sleep,negative,-0.4462
Anxiety,hopelessness,negative,-0.4462
Anxiety,hopelessness,neutral,-0.0258
Anxiety,appetite,positive,0.9267
Anxiety,social_support,positive,0.9267
Anxiety,hopelessness,negative,-0.6381
Anxiety,sleep,negative,-0.2023
Anxiety,social_support,negative,-0.8735
Anxiety,sleep,neutral,-0.0439
Anxiety,sleep,negative,-0.8968
Anxiety,sleep,positive,0.6808
Anxiety,sleep,negative,-0.4019
Anxiety,social_support,negative,-0.4019
Anxiety,sleep,negative,-0.9186
Anxiety,social_support,negative,-0.721
Anxiety,sleep,neutral,0.0
Anxiety,hopelessness,negative,-0.8779
Anxiety,social_support,negative,-0.4404
Anxiety,sleep,positive,0.4019
Anxiety,sleep,negative,-0.6497
Anxiety,social_support,positive,0.4033
Anxiety,self_harm,negative,-0.2263
Anxiety,sleep,positive,0.2057
Anxiety,social_support,negative,-0.8658
Anxiety,sleep,negative,-0.6271
Anxiety,sleep,negative,-0.409
Anxiety,hopelessness,negative,-0.304
Anxiety,sleep,negative,-0.1469
Anxiety,social_support,negative,-0.9205
Anxiety,hopelessness,negative,-0.9205
Anxiety,sleep,negative,-0.8559
Anxiety,energy,negative,-0.5524
Anxiety,therapy,negative,-0.5524
Anxiety,hopelessness,negative,-0.4574
Anxiety,hopelessness,positive,0.1027
Anxiety,hopelessness,positive,0.7878
Anxiety,sleep,negative,-0.3919
Anxiety,sleep,negative,-0.8583
Anxiety,social_support,negative,-0.2263
Anxiety,sleep,negative,-0.589
Anxiety,sleep,negative,-0.802
Anxiety,social_support,positive,0.7163
Anxiety,sleep,positive,0.4657
Anxiety,sleep,positive,0.1511
Anxiety,sleep,negative,-0.2023
Anxiety,social_support,positive,0.8943
