status,aspect,sentiment,count
Anxiety,appetite,negative,344
Anxiety,appetite,positive,85
Anxiety,appetite,neutral,2
Anxiety,concentration,negative,146
Anxiety,concentration,positive,55
Anxiety,energy,negative,134
Anxiety,energy,positive,30
Anxiety,hopelessness,negative,924
Anxiety,hopelessness,positive,191
Anxiety,hopelessness,neutral,8
Anxiety,medication,negative,262
Anxiety,medication,positive,64
Anxiety,medication,neutral,3
Anxiety,motivation,negative,80
Anxiety,motivation,positive,18
Anxiety,motivation,neutral,1
Anxiety,self_harm,negative,86
Anxiety,self_harm,positive,12
Anxiety,sleep,negative,461
Anxiety,sleep,positive,88
Anxiety,sleep,neutral,10
Anxiety,social_support,negative,404
Anxiety,social_support,positive,171
Anxiety,social_support,neutral,4
Anxiety,therapy,negative,725
Anxiety,therapy,positive,191
Anxiety,therapy,neutral,5
Bipolar,appetite,negative,149
Bipolar,appetite,positive,119
Bipolar,appetite,neutral,6
Bipolar,concentration,negative,128
Bipolar,concentration,positive,66
Bipolar,concentration,neutral,1
Bipolar,energy,negative,157
Bipolar,energy,positive,85
Bipolar,energy,neutral,4
Bipolar,hopelessness,negative,503
Bipolar,hopelessness,positive,314
Bipolar,hopelessness,neutral,6
Bipolar,medication,negative,383
Bipolar,medication,positive,254
Bipolar,medication,neutral,20
Bipolar,motivation,negative,97
Bipolar,motivation,positive,77
Bipolar,motivation,neutral,3
Bipolar,self_harm,negative,254
Bipolar,self_harm,positive,76
Bipolar,self_harm,neutral,3
Bipolar,sleep,negative,360
Bipolar,sleep,positive,180
Bipolar,sleep,neutral,5
Bipolar,social_support,negative,446
Bipolar,social_support,positive,309
Bipolar,social_support,neutral,6
Bipolar,therapy,negative,356
Bipolar,therapy,positive,229
Bipolar,therapy,neutral,5
Depression,appetite,negative,997
Depression,appetite,positive,456
Depression,appetite,neutral,10
Depression,concentration,negative,646
Depression,concentration,positive,295
Depression,concentration,neutral,6
Depression,energy,negative,731
Depression,energy,positive,304
Depression,energy,neutral,5
Depression,hopelessness,negative,4848
Depression,hopelessness,positive,2025
Depression,hopelessness,neutral,78
Depression,medication,negative,950
Depression,medication,positive,388
Depression,medication,neutral,16
Depression,motivation,negative,707
Depression,motivation,positive,391
Depression,motivation,neutral,9
Depression,self_harm,negative,2214
Depression,self_harm,positive,549
Depression,self_harm,neutral,19
Depression,sleep,negative,2078
Depression,sleep,positive,705
Depression,sleep,neutral,26
Depression,social_support,negative,4090
Depression,social_support,positive,2039
Depression,social_support,neutral,58
Depression,therapy,negative,1539
Depression,therapy,positive,636
Depression,therapy,neutral,22
Normal,appetite,positive,127
Normal,appetite,negative,70
Normal,appetite,neutral,62
Normal,concentration,positive,59
Normal,concentration,negative,23
Normal,concentration,neutral,11
Normal,energy,positive,12
Normal,energy,negative,8
Normal,energy,neutral,3
Normal,hopelessness,positive,204
Normal,hopelessness,negative,162
Normal,hopelessness,neutral,29
Normal,medication,positive,40
Normal,medication,negative,35
Normal,medication,neutral,15
Normal,motivation,positive,26
