model,class,precision,recall,f1-score,support
Linear SVM,Anxiety,0.7403846153846154,0.8020833333333334,0.77,576.0
Linear SVM,Bipolar,0.8390501319261213,0.7644230769230769,0.8,416.0
Linear SVM,Depression,0.731040979745643,0.6715707485936824,0.7000451059990979,2311.0
Linear SVM,Normal,0.8685714285714285,0.9375,0.9017203875815701,2432.0
Linear SVM,Personality disorder,0.7985611510791367,0.6894409937888198,0.74,161.0
Linear SVM,Stress,0.5972972972972973,0.5695876288659794,0.58311345646438,388.0
Linear SVM,Suicidal,0.6393341553637485,0.648936170212766,0.6440993788819875,1598.0
Linear SVM,accuracy,0.7588175589951789,0.7588175589951789,0.7588175589951789,0.7588175589951789
Linear SVM,macro avg,0.7448913941954273,0.7262202788168083,0.7341397612752908,7882.0
Linear SVM,weighted avg,0.7560623558445904,0.7588175589951789,0.7563774487596917,7882.0
