model,class,precision,recall,f1-score,support
Logistic Regression,Anxiety,0.7496038034865293,0.8211805555555556,0.7837613918806959,576.0
Logistic Regression,Bipolar,0.7862232779097387,0.7956730769230769,0.7909199522102748,416.0
Logistic Regression,Depression,0.7841880341880342,0.6352228472522717,0.7018885967009324,2311.0
Logistic Regression,Normal,0.8748031496062992,0.9136513157894737,0.8938053097345132,2432.0
Logistic Regression,Personality disorder,0.6119402985074627,0.7639751552795031,0.6795580110497238,161.0
Logistic Regression,Stress,0.5424430641821946,0.6752577319587629,0.6016073478760046,388.0
Logistic Regression,Suicidal,0.6510957324106112,0.7065081351689612,0.6776710684273709,1598.0
Logistic Regression,accuracy,0.7622430855112915,0.7622430855112915,0.7622430855112915,0.7622430855112915
Logistic Regression,macro avg,0.7143281943272671,0.7587812597039436,0.7327445254113594,7882.0
Logistic Regression,weighted avg,0.7673257750094276,0.7622430855112915,0.7614842908138518,7882.0
