model,class,precision,recall,f1-score,support
Naive Bayes,Anxiety,0.5151515151515151,0.796875,0.6257668711656442,576.0
Naive Bayes,Bipolar,0.3992974238875878,0.8197115384615384,0.537007874015748,416.0
Naive Bayes,Depression,0.7110199296600235,0.524881003894418,0.603933283544934,2311.0
Naive Bayes,Normal,0.9635173058933583,0.42351973684210525,0.5884033133390459,2432.0
Naive Bayes,Personality disorder,0.19151846785225718,0.8695652173913043,0.31390134529147984,161.0
Naive Bayes,Stress,0.3215434083601286,0.5154639175257731,0.39603960396039606,388.0
Naive Bayes,Suicidal,0.5863613738178198,0.737171464330413,0.6531743831438869,1598.0
Naive Bayes,accuracy,0.5786602385181426,0.5786602385181426,0.5786602385181426,0.5786602385181426
Naive Bayes,macro avg,0.5269156320889558,0.6695982683493645,0.5311752392087336,7882.0
Naive Bayes,weighted avg,0.7031051684306382,0.5786602385181426,0.5910299184074292,7882.0
