model,class,precision,recall,f1-score,support
Naive Bayes,Anxiety,0.5163841807909605,0.7934027777777778,0.6255989048596852,576.0
Naive Bayes,Bipolar,0.39651162790697675,0.8197115384615384,0.5344827586206896,416.0
Naive Bayes,Depression,0.7107871720116619,0.5274772825616616,0.6055638350720318,2311.0
Naive Bayes,Normal,0.9643527204502814,0.42269736842105265,0.5877644368210406,2432.0
Naive Bayes,Personality disorder,0.19119669876203577,0.8633540372670807,0.3130630630630631,161.0
Naive Bayes,Stress,0.3216,0.5180412371134021,0.39684106614017767,388.0
Naive Bayes,Suicidal,0.5888223552894212,0.7384230287859824,0.6551915602443087,1598.0
Naive Bayes,accuracy,0.579167723927937,0.579167723927937,0.579167723927937,0.579167723927937
Naive Bayes,macro avg,0.5270935364587626,0.6690153243412136,0.5312150892601423,7882.0
Naive Bayes,weighted avg,0.7037328962512196,0.579167723927937,0.5915966163501103,7882.0
Logistic Regression,Anxiety,0.7496038034865293,0.8211805555555556,0.7837613918806959,576.0
Logistic Regression,Bipolar,0.7862232779097387,0.7956730769230769,0.7909199522102748,416.0
Logistic Regression,Depression,0.7841880341880342,0.6352228472522717,0.7018885967009324,2311.0
Logistic Regression,Normal,0.8748031496062992,0.9136513157894737,0.8938053097345132,2432.0
Logistic Regression,Personality disorder,0.6119402985074627,0.7639751552795031,0.6795580110497238,161.0
Logistic Regression,Stress,0.5424430641821946,0.6752577319587629,0.6016073478760046,388.0
Logistic Regression,Suicidal,0.6510957324106112,0.7065081351689612,0.6776710684273709,1598.0
Logistic Regression,accuracy,0.7622430855112915,0.7622430855112915,0.7622430855112915,0.7622430855112915
Logistic Regression,macro avg,0.7143281943272671,0.7587812597039436,0.7327445254113594,7882.0
Logistic Regression,weighted avg,0.7673257750094276,0.7622430855112915,0.7614842908138518,7882.0
Linear SVM,Anxiety,0.7403846153846154,0.8020833333333334,0.77,576.0
Linear SVM,Bipolar,0.8390501319261213,0.7644230769230769,0.8,416.0
Linear SVM,Depression,0.731040979745643,0.6715707485936824,0.7000451059990979,2311.0
Linear SVM,Normal,0.8685714285714285,0.9375,0.9017203875815701,2432.0
Linear SVM,Personality disorder,0.7985611510791367,0.6894409937888198,0.74,161.0
Linear SVM,Stress,0.5972972972972973,0.5695876288659794,0.58311345646438,388.0
Linear SVM,Suicidal,0.6393341553637485,0.648936170212766,0.6440993788819875,1598.0
Linear SVM,accuracy,0.7588175589951789,0.7588175589951789,0.7588175589951789,0.7588175589951789
Linear SVM,macro avg,0.7448913941954273,0.7262202788168083,0.7341397612752908,7882.0
Linear SVM,weighted avg,0.7560623558445904,0.7588175589951789,0.7563774487596917,7882.0
